date,value
1-12-2019,4783.942
2-12-2019,4672.171
3-12-2019,5081.337
4-12-2019,5139.933
5-12-2019,5222.19
6-12-2019,5255.792
7-12-2019,5032.613
8-12-2019,5027.827
9-12-2019,5317.208
10-12-2019,5683.432
11-12-2019,5373.02
12-12-2019,5177.855
13-12-2019,5404.827
14-12-2019,5425.872
15-12-2019,5564.811
16-12-2019,5689.841
17-12-2019,5937.05
18-12-2019,6175.303
19-12-2019,6259.768
20-12-2019,5723.148
21-12-2019,5878.955
22-12-2019,5604.707
23-12-2019,5819.495
24-12-2019,5638.449
25-12-2019,5925.333
26-12-2019,6111.619
27-12-2019,6270.697
28-12-2019,5643.048
29-12-2019,6050.982
30-12-2019,5568.733
31-12-2019,6128.553
1-1-2020,5948.846
2-1-2020,5885.337
3-1-2020,5953.881
4-1-2020,6080.889
5-1-2020,5867.163
6-1-2020,5873.398
7-1-2020,5988.075
8-1-2020,6238.417
9-1-2020,6404.18
10-1-2020,6197.88
11-1-2020,6440.93
12-1-2020,6568.292
13-1-2020,6571.866
14-1-2020,6698.748
15-1-2020,6631.497
16-1-2020,6610.606
17-1-2020,6457.707
18-1-2020,6315.26
19-1-2020,6414.86
20-1-2020,6774.529
21-1-2020,6436.455
22-1-2020,6520.576
23-1-2020,6698.665
24-1-2020,6743.531
25-1-2020,6742.687
26-1-2020,6726.825
27-1-2020,6696.994
28-1-2020,6641.749
29-1-2020,6679.232
30-1-2020,6616.068
31-1-2020,6548.049
1-2-2020,5980.746
2-2-2020,5831.219
3-2-2020,5689.644
4-2-2020,6043.837
5-2-2020,5981.846
6-2-2020,6248.405
7-2-2020,6199.188
8-2-2020,6254.082
9-2-2020,6321.029
10-2-2020,6287.306
11-2-2020,6101.032
12-2-2020,6263.198
13-2-2020,5916.004
14-2-2020,5863.055
15-2-2020,6062.894
16-2-2020,6067.277
17-2-2020,6014.816
18-2-2020,6327.066
19-2-2020,6627.319
20-2-2020,6439.219
21-2-2020,6594.764
22-2-2020,6428.294
23-2-2020,6390.188
24-2-2020,6131.742
25-2-2020,6314.08
26-2-2020,6423.641
27-2-2020,6261.14
28-2-2020,6218.538
29-2-2020,5746.389
1-3-2020,5540.49
2-3-2020,5647.154
3-3-2020,5878.746
4-3-2020,6132.162
5-3-2020,6065.288
6-3-2020,5817.396
7-3-2020,6017.307
8-3-2020,5777.283
9-3-2020,6101.992
10-3-2020,5816.201
11-3-2020,6090.535
12-3-2020,6292.827
13-3-2020,6142.729
14-3-2020,5830.989
15-3-2020,5885.625
16-3-2020,5942.942
17-3-2020,5905.986
18-3-2020,6199.679
19-3-2020,6440.43
20-3-2020,6630.754
21-3-2020,6145.974
22-3-2020,6298.566
23-3-2020,6155.925
24-3-2020,6520.843
25-3-2020,6669.256
26-3-2020,6376.791
27-3-2020,6520.319
28-3-2020,6402.321
29-3-2020,6396.716
